number,value,datetime_start,datetime_complete,duration,params_epochs,params_fixed_param_dim,params_loss_type,params_lr_lstm,params_lr_mapping,params_steps_recurrent_loop_train,state
0,18.777503492983826,2025-08-04 19:04:14.238342,2025-08-04 19:08:17.242614,0 days 00:04:03.004272,7,32,weighted,0.022485139782442265,0.00019525343294216256,25,COMPLETE
1,167.21173590732573,2025-08-04 19:08:17.243095,2025-08-04 19:12:14.146827,0 days 00:03:56.903732,18,85,weighted,0.0301844847944986,0.03178917448510775,22,COMPLETE
2,23.16819950458212,2025-08-04 19:12:14.147307,2025-08-04 19:15:19.245003,0 days 00:03:05.097696,13,92,weighted,0.0001315185655705329,0.0024909547017663326,9,COMPLETE
3,14.077120645702221,2025-08-04 19:15:19.245505,2025-08-04 19:18:19.098671,0 days 00:02:59.853166,19,60,weighted,0.0005567580053466455,0.04811940370768828,9,COMPLETE
4,18.632667563755117,2025-08-04 19:18:19.099112,2025-08-04 19:21:24.447193,0 days 00:03:05.348081,6,52,weighted,0.0010422116165353735,0.007579712983301696,10,COMPLETE
5,28.581323404968124,2025-08-04 19:21:24.447688,2025-08-04 19:25:07.569895,0 days 00:03:43.122207,17,98,weighted,0.00012412271661587144,0.0007394877047268858,14,COMPLETE
6,22.730461401449137,2025-08-04 19:25:07.570400,2025-08-04 19:28:18.245315,0 days 00:03:10.674915,9,41,weighted,0.021166933764745603,0.006512033439061055,9,COMPLETE
7,156.05987441837584,2025-08-04 19:28:18.245816,2025-08-04 19:32:20.774324,0 days 00:04:02.528508,20,17,observed improvement,0.006185131570093003,0.015014183324626795,19,COMPLETE
8,8.175680730448656,2025-08-04 19:32:20.774843,2025-08-04 19:36:48.192760,0 days 00:04:27.417917,20,94,weighted,0.053772412151094705,0.00036004985060934856,22,COMPLETE
9,24.797821348346535,2025-08-04 19:36:48.193255,2025-08-04 19:39:52.543554,0 days 00:03:04.350299,8,80,weighted,0.0004717049931453953,0.003426391745767964,7,COMPLETE
10,10.705716858159844,2025-08-04 19:39:52.544139,2025-08-04 19:46:04.193955,0 days 00:06:11.649816,15,71,observed improvement,0.09128722924547257,0.0001391964977875675,29,COMPLETE
11,28.35340210796812,2025-08-04 19:46:04.194540,2025-08-04 19:52:10.437455,0 days 00:06:06.242915,14,71,observed improvement,0.09443215432668838,0.00011288454071282022,29,COMPLETE
12,43.16079348851928,2025-08-04 19:52:10.438358,2025-08-04 19:58:08.564333,0 days 00:05:58.125975,16,71,observed improvement,0.09463023627913256,0.0004599385981089841,30,COMPLETE
13,36.22332751278128,2025-08-04 19:58:08.564947,2025-08-04 20:03:30.855396,0 days 00:05:22.290449,11,75,observed improvement,0.0057901409213579206,0.000593676260485376,26,COMPLETE
14,67.8606078752664,2025-08-04 20:03:30.855879,2025-08-04 20:06:53.900587,0 days 00:03:23.044708,15,100,observed improvement,0.03956818654147845,0.000258460780673307,19,COMPLETE
